Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
"AI Copilot [Sem I] Sprint Planning - Sprint 0",03/16/2026,9:00 AM,03/16/2026,10:30 AM,False,"Planificar objetivos y tareas: doc tecnica mockups prep (HU-00). Sin docs de entrega academica. Lunes 16 mar (evitar domingo)."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",03/18/2026,9:00 AM,03/18/2026,9:30 AM,False,"Standup semanal: avance bloqueos proximos pasos. Modo solo dev: una sync/semana."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",03/25/2026,9:00 AM,03/25/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",04/01/2026,9:00 AM,04/01/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Sprint Review - Sprint 0",04/04/2026,4:00 PM,04/04/2026,5:00 PM,False,"Demo incremento Sprint 0. Fin Sprint 0 (4 abr)."
"AI Copilot [Sem I] Sprint Retrospective - Sprint 0",04/04/2026,5:15 PM,04/04/2026,6:00 PM,False,"Que salio bien mejoras proximo sprint."
"AI Copilot [Sem I] Sprint Planning - Sprint 1",04/06/2026,9:00 AM,04/06/2026,10:30 AM,False,"HU-01 HU-02 Auth y perfiles. Lunes 6 abr (evitar domingo)."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",04/08/2026,9:00 AM,04/08/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",04/15/2026,9:00 AM,04/15/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",04/22/2026,9:00 AM,04/22/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Sprint Review - Sprint 1",04/25/2026,4:00 PM,04/25/2026,5:00 PM,False,"Demo auth. Merge feature a develop si aplica."
"AI Copilot [Sem I] Sprint Retrospective - Sprint 1",04/25/2026,5:15 PM,04/25/2026,6:00 PM,False,"Retrospectiva Sprint 1."
"AI Copilot [Sem I] Sprint Planning - Sprint 2",04/27/2026,9:00 AM,04/27/2026,10:30 AM,False,"HU-03 Panel cliente tickets. Lunes 27 abr (evitar domingo)."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",04/29/2026,9:00 AM,04/29/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",05/06/2026,9:00 AM,05/06/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",05/13/2026,9:00 AM,05/13/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Sprint Review - Sprint 2",05/16/2026,4:00 PM,05/16/2026,5:00 PM,False,"Demo CRUD cliente."
"AI Copilot [Sem I] Sprint Retrospective - Sprint 2",05/16/2026,5:15 PM,05/16/2026,6:00 PM,False,"Retrospectiva Sprint 2."
"AI Copilot [Sem I] Sprint Planning - Sprint 3",05/18/2026,9:00 AM,05/18/2026,10:30 AM,False,"HU-04 HU-04b Dashboard agente y reglas. Lunes 18 may (evitar domingo)."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",05/20/2026,9:00 AM,05/20/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",05/27/2026,9:00 AM,05/27/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Daily Scrum (sync semanal)",06/03/2026,9:00 AM,06/03/2026,9:30 AM,False,"Standup semanal."
"AI Copilot [Sem I] Sprint Review - Sprint 3",06/06/2026,4:00 PM,06/06/2026,5:00 PM,False,"Demo Release 1 core. Fin Semestre I desarrollo (Sprints 0-3)."
"AI Copilot [Sem I] Sprint Retrospective - Sprint 3",06/06/2026,5:15 PM,06/06/2026,6:00 PM,False,"Retrospectiva Sprint 3 y cierre Release 1."
